,knot_0,knot_333,knot_666,knot_1000
715,0.0,0.0,0.8532934131736527,0.1467065868263473
716,0.0,0.0,0.8502994011976048,0.14970059880239517
717,0.0,0.0,0.8473053892215568,0.15269461077844315
718,0.0,0.0,0.844311377245509,0.15568862275449102
719,0.0,0.0,0.8413173652694611,0.1586826347305389
720,0.0,0.0,0.8383233532934131,0.16167664670658688
721,0.0,0.0,0.8353293413173652,0.16467065868263475
722,0.0,0.0,0.8323353293413174,0.16766467065868262
723,0.0,0.0,0.8293413173652695,0.1706586826347305
724,0.0,0.0,0.8263473053892215,0.17365269461077848
725,0.0,0.0,0.8233532934131736,0.17664670658682635
726,0.0,0.0,0.8203592814371258,0.17964071856287422
727,0.0,0.0,0.8173652694610778,0.1826347305389222
728,0.0,0.0,0.8143712574850299,0.18562874251497008
729,0.0,0.0,0.811377245508982,0.18862275449101795
730,0.0,0.0,0.8083832335329342,0.19161676646706582
731,0.0,0.0,0.8053892215568862,0.1946107784431138
732,0.0,0.0,0.8023952095808383,0.19760479041916168
733,0.0,0.0,0.7994011976047904,0.20059880239520955
734,0.0,0.0,0.7964071856287425,0.20359281437125754
735,0.0,0.0,0.7934131736526946,0.2065868263473054
736,0.0,0.0,0.7904191616766467,0.20958083832335328
737,0.0,0.0,0.7874251497005988,0.21257485029940115
738,0.0,0.0,0.7844311377245509,0.21556886227544914
739,0.0,0.0,0.781437125748503,0.218562874251497
740,0.0,0.0,0.7784431137724551,0.22155688622754488
741,0.0,0.0,0.7754491017964071,0.22455089820359286
742,0.0,0.0,0.7724550898203593,0.22754491017964074
743,0.0,0.0,0.7694610778443114,0.2305389221556886
744,0.0,0.0,0.7664670658682635,0.23353293413173648
745,0.0,0.0,0.7634730538922155,0.23652694610778446
746,0.0,0.0,0.7604790419161677,0.23952095808383234
747,0.0,0.0,0.7574850299401198,0.2425149700598802
748,0.0,0.0,0.7544910179640718,0.2455089820359282
749,0.0,0.0,0.7514970059880239,0.24850299401197606
750,0.0,0.0,0.7485029940119761,0.25149700598802394
751,0.0,0.0,0.7455089820359282,0.2544910179640718
752,0.0,0.0,0.7425149700598802,0.2574850299401198
753,0.0,0.0,0.7395209580838323,0.26047904191616766
754,0.0,0.0,0.7365269461077845,0.26347305389221554
755,0.0,0.0,0.7335329341317365,0.2664670658682635
756,0.0,0.0,0.7305389221556886,0.2694610778443114
757,0.0,0.0,0.7275449101796407,0.27245508982035926
758,0.0,0.0,0.7245508982035929,0.27544910179640714
759,0.0,0.0,0.7215568862275449,0.2784431137724551
760,0.0,0.0,0.718562874251497,0.281437125748503
761,0.0,0.0,0.7155688622754491,0.28443113772455086
762,0.0,0.0,0.7125748502994012,0.28742514970059885
763,0.0,0.0,0.7095808383233533,0.2904191616766467
764,0.0,0.0,0.7065868263473054,0.2934131736526946
765,0.0,0.0,0.7035928143712575,0.29640718562874246
766,0.0,0.0,0.7005988023952096,0.29940119760479045
767,0.0,0.0,0.6976047904191617,0.3023952095808383
768,0.0,0.0,0.6946107784431138,0.3053892215568862
769,0.0,0.0,0.6916167664670658,0.3083832335329342
770,0.0,0.0,0.688622754491018,0.31137724550898205
771,0.0,0.0,0.6856287425149701,0.3143712574850299
772,0.0,0.0,0.6826347305389222,0.3173652694610778
773,0.0,0.0,0.6796407185628742,0.3203592814371258
774,0.0,0.0,0.6766467065868264,0.32335329341317365
775,0.0,0.0,0.6736526946107785,0.3263473053892215
776,0.0,0.0,0.6706586826347305,0.3293413173652695
777,0.0,0.0,0.6676646706586826,0.3323353293413174
778,0.0,0.0,0.6646706586826348,0.33532934131736525
779,0.0,0.0,0.6616766467065869,0.3383233532934131
780,0.0,0.0,0.6586826347305389,0.3413173652694611
781,0.0,0.0,0.655688622754491,0.344311377245509
782,0.0,0.0,0.6526946107784432,0.34730538922155685
